# New slice
19 36
18 35
17 34
16 33
15 33
14 32
13 31
12 30
11 29
10 28
9 27
9 27
8 26
9 25
9 24
10 24
10 23
9 23
10 23
9 23
10 24
9 24
9 25
9 26
10 25
10 24
10 25
9 25
10 25
9 25
10 25
10 24
10 25
9 25
10 25
# New slice
27 6
27 6
26 7
25 8
24 9
23 9
22 10
21 11
20 12
19 12
18 13
18 14
18 15
17 16
16 17
15 18
14 19
13 20
12 21
11 22
10 23
9 23
10 24
10 25
9 25
8 25
9 25
9 24
10 24
10 25
9 25
9 26
10 26
9 26
10 25
10 24
10 25
9 25
10 25
9 25
# New slice
32 0
32 1
31 1
31 2
31 1
30 1
30 2
29 2
28 2
28 1
27 1
27 0
27 0
27 1
27 1
26 1
25 1
24 1
23 1
22 1
21 1
20 1
19 1
18 1
17 1
16 1
15 1
14 1
13 1
13 0
13 1
13 1
12 1
11 1
10 1
9 1
8 1
8 2
8 2
8 2
# New slice
48 23
48 24
48 25
48 26
47 26
46 26
45 26
44 26
43 26
42 26
42 26
41 26
40 26
39 25
38 25
38 24
38 24
38 23
37 24
36 24
36 23
35 24
34 24
34 24
35 24
34 24
34 24
35 24
34 24
35 24
34 24
34 24
35 24
34 24
35 24
34 24
34 24
35 24
34 24
34 25
# New slice
22 44
21 44
20 43
19 42
19 42
18 41
17 40
16 39
15 38
15 38
14 37
13 36
12 35
12 34
11 33
10 32
9 31
8 31
7 31
6 30
5 29
6 28
7 27
8 26
9 26
10 25
9 25
9 24
10 24
9 24
10 24
9 24
8 24
9 24
10 24
10 23
9 24
9 23
10 24
10 25
# New slice
7 45
6 45
6 45
5 45
4 44
3 43
2 42
2 42
2 41
1 40
2 40
1 39
0 38
1 38
1 37
0 37
1 37
0 36
0 35
1 35
0 34
1 34
0 33
1 33
1 32
2 31
3 30
4 29
5 28
6 28
7 28
8 27
9 27
9 26
10 25
9 25
10 25
9 25
10 25
9 25
# New slice
19 21
18 22
17 23
17 23
16 24
16 23
15 24
15 23
14 24
14 23
13 24
12 24
12 25
12 25
12 25
11 25
11 25
10 25
9 25
10 25
9 25
10 25
10 24
9 24
10 24
9 24
10 24
9 24
10 24
9 24
8 24
8 24
9 24
9 23
10 24
9 24
10 24
10 23
9 24
9 23
# New slice
49 25
49 25
48 25
48 25
48 24
47 24
46 24
45 24
45 24
44 24
44 25
44 26
43 26
42 26
41 26
40 26
40 25
39 25
39 24
38 24
37 24
37 23
36 24
36 25
36 26
35 26
34 25
35 25
35 26
35 26
34 25
35 25
34 25
34 24
34 24
35 24
35 23
34 24
35 24
34 24
# New slice
9 19
9 19
8 20
7 21
6 22
7 23
7 24
8 24
8 24
8 24
8 23
9 24
10 24
9 24
10 24
10 23
9 24
9 24
10 24
9 24
10 24
10 23
9 24
10 24
11 24
10 24
11 24
11 25
10 25
10 26
9 25
10 25
9 25
9 24
10 24
9 24
10 24
9 24
10 24
9 24
# New slice
2 0
3 0
4 0
4 0
4 1
4 1
3 1
2 1
2 1
1 1
0 1
1 1
1 0
1 1
0 1
0 2
1 2
0 2
0 2
1 2
1 3
0 3
0 3
1 3
0 3
1 3
1 2
1 1
1 2
0 2
1 2
0 2
0 2
1 2
0 2
1 2
1 3
1 2
0 2
1 2
# New slice
41 27
41 27
40 26
39 25
38 25
37 25
37 26
36 25
36 25
35 25
34 25
35 25
34 25
34 25
35 25
34 25
34 24
35 24
34 24
35 24
34 24
35 24
35 25
34 25
35 25
34 25
34 25
35 25
34 25
35 25
35 25
35 26
34 25
35 25
35 24
35 24
35 24
34 24
35 24
35 23
# New slice
7 23
7 23
8 24
8 25
9 25
10 25
9 25
10 25
9 25
10 25
9 25
10 25
10 24
10 24
9 24
10 24
9 24
10 24
9 24
10 24
11 24
10 24
10 24
10 23
9 23
10 24
10 25
10 24
9 24
10 24
9 24
10 24
9 24
10 24
9 24
9 23
10 24
10 24
10 25
9 25
# New slice
27 12
27 13
26 13
25 14
24 15
23 16
22 17
21 18
20 19
19 20
18 21
17 22
17 22
16 22
15 23
14 24
13 24
13 25
13 26
13 26
12 25
11 25
10 25
9 25
10 25
9 25
10 25
9 25
10 25
9 25
10 25
9 25
10 25
9 25
10 25
9 25
10 25
9 25
10 25
9 25
# New slice
1 14
2 14
1 15
1 15
1 14
1 14
2 14
1 15
1 15
2 15
3 16
3 16
3 17
4 18
5 19
4 20
4 20
5 21
5 22
5 23
5 23
6 23
7 23
7 24
7 24
8 24
8 23
9 24
10 24
10 23
9 24
9 24
10 24
10 25
9 25
10 25
10 26
9 25
8 25
8 25
# New slice
46 38
45 38
44 37
44 36
44 35
43 35
43 35
42 35
41 34
40 33
39 32
38 31
38 31
37 31
36 30
35 29
34 28
33 27
34 26
34 26
34 26
34 26
33 25
33 26
34 26
33 25
34 25
35 25
34 25
34 25
34 26
33 25
33 25
34 25
35 25
34 25
35 25
34 25
35 25
34 25
# New slice
34 36
33 36
33 35
32 35
31 35
30 34
30 33
30 34
29 34
28 34
27 34
26 34
25 34
24 34
23 34
23 33
23 32
23 31
22 30
21 29
20 28
20 28
20 28
19 27
19 27
18 26
18 25
18 25
18 25
18 24
17 25
16 25
15 24
14 24
14 23
13 24
12 24
11 24
11 23
10 24
# New slice
19 11
18 12
17 13
16 13
15 13
14 13
13 14
12 15
11 16
11 16
10 17
10 18
9 19
8 20
7 21
6 22
6 23
7 23
8 24
8 24
9 24
10 24
10 25
9 25
9 26
10 25
9 25
10 25
9 25
9 25
9 25
9 24
9 25
9 26
10 26
9 26
10 25
9 25
10 25
11 25
# New slice
13 15
12 16
11 17
10 18
10 19
9 20
9 20
9 20
8 21
7 22
8 22
9 23
10 24
10 25
9 25
10 25
9 25
10 25
9 25
10 25
9 25
10 25
9 25
9 26
10 25
9 25
9 26
10 25
9 25
9 26
9 25
10 25
10 25
9 25
10 25
9 25
9 25
9 26
9 25
9 25
# New slice
31 0
31 1
30 1
30 0
29 0
28 0
28 1
27 1
26 1
26 0
26 1
26 0
26 1
26 2
26 1
25 1
24 1
23 1
22 1
22 2
21 2
20 2
20 2
20 1
19 1
18 1
17 1
17 0
17 1
17 2
16 2
15 2
14 2
13 2
13 2
13 3
12 3
11 3
11 3
10 3
# New slice
23 41
22 41
21 40
20 39
20 38
19 38
19 37
20 36
19 35
18 34
17 33
16 32
16 31
15 30
14 29
14 29
13 29
13 28
12 27
11 26
10 25
9 25
9 26
9 26
9 25
10 25
9 25
10 25
10 25
9 25
9 25
10 25
9 25
9 24
10 24
9 24
10 24
9 24
10 24
9 24
# New slice
4 35
3 34
2 33
1 32
1 32
1 31
2 31
2 30
3 29
4 29
5 28
6 27
7 26
8 25
8 26
9 25
10 25
9 25
10 25
9 25
10 25
9 25
10 25
9 25
9 24
9 25
10 25
10 24
9 24
10 25
9 25
10 25
9 25
10 25
10 24
9 24
10 24
9 24
9 23
10 23
# New slice
48 20
48 21
48 20
47 20
46 20
45 20
44 20
44 21
43 21
43 21
42 21
42 21
41 21
40 21
39 22
38 23
38 23
37 24
37 24
36 24
35 24
34 24
35 24
34 24
35 24
34 24
35 24
34 24
34 25
34 26
33 25
34 25
34 25
34 24
35 24
35 23
35 24
34 24
35 24
35 25
# New slice
1 18
2 19
3 20
4 21
4 22
5 22
5 22
6 22
6 22
7 23
8 24
9 24
10 24
9 24
9 24
10 24
9 24
10 24
9 24
10 24
9 24
10 25
9 25
10 25
9 25
10 25
9 25
10 24
9 24
10 24
9 24
10 24
9 24
10 24
10 24
9 24
9 23
9 23
10 24
9 24
# New slice
18 25
17 24
16 24
15 24
14 25
13 25
12 25
12 25
11 25
10 25
10 26
9 25
10 25
9 25
10 25
10 26
9 25
9 24
10 24
9 24
9 24
10 24
9 24
10 24
9 24
10 24
9 24
9 25
10 25
10 25
9 25
10 25
9 24
10 24
10 25
9 24
10 24
9 24
10 24
10 24
# New slice
3 15
2 16
2 16
3 17
4 18
4 19
5 20
6 21
7 22
8 22
9 23
10 24
9 24
10 24
10 24
9 24
10 24
9 24
10 24
10 24
9 24
10 24
9 25
9 26
10 25
9 25
10 25
9 24
10 24
9 24
10 24
10 24
9 24
9 25
9 26
10 25
10 25
9 25
9 24
9 25
# New slice
26 39
25 38
24 38
23 38
22 37
22 37
21 36
20 35
19 34
18 33
17 32
17 31
16 30
15 29
14 29
14 28
13 27
12 26
11 25
10 25
10 26
10 26
9 25
10 25
9 25
10 25
9 25
10 25
9 25
9 24
10 24
9 24
10 24
9 25
8 25
8 26
9 25
10 25
10 26
9 25
# New slice
41 24
40 24
40 23
39 23
39 23
38 23
37 24
36 24
36 24
36 24
35 24
34 24
35 24
35 24
34 24
35 24
34 24
34 24
35 24
34 24
35 24
34 24
34 24
34 25
34 24
34 25
35 25
35 24
34 24
34 25
35 25
34 25
35 25
35 24
35 24
34 24
35 24
35 24
34 24
35 24
# New slice
16 33
15 33
14 32
13 31
12 30
11 29
11 29
10 28
9 27
8 26
9 25
10 25
9 25
10 25
9 25
10 25
9 25
10 25
9 25
9 24
10 24
9 24
9 23
10 24
9 24
9 25
10 25
9 25
10 25
9 25
10 25
9 25
10 25
11 25
10 25
9 25
10 25
10 25
10 25
9 25
# New slice
38 14
37 14
37 13
36 13
35 13
34 13
34 13
34 14
34 13
33 13
32 13
31 13
30 13
29 13
29 14
28 14
27 14
27 15
27 15
26 15
26 14
26 15
26 15
26 16
25 16
25 15
25 16
25 15
24 16
23 17
23 17
22 18
22 18
21 19
21 20
20 21
19 22
18 23
18 24
17 24
# New slice
15 9
14 9
13 9
12 10
11 11
11 12
10 13
9 13
8 14
7 15
6 16
5 17
4 18
4 18
5 19
4 20
5 21
6 22
7 23
7 23
8 24
9 24
10 24
9 24
9 25
9 24
10 24
10 23
9 24
9 25
10 25
10 24
9 24
10 24
9 24
9 24
10 24
9 24
9 24
10 24
# New slice
4 38
4 37
3 36
2 35
2 34
1 33
1 32
2 31
3 30
3 30
4 29
5 29
5 29
5 29
6 28
7 27
8 26
9 25
10 25
9 25
10 25
9 25
10 25
10 26
9 26
9 25
10 25
9 25
10 25
9 25
10 25
10 24
9 24
10 24
9 24
9 24
10 24
9 24
8 24
9 24
# New slice
26 41
25 40
24 39
23 38
22 37
21 36
20 35
19 34
18 33
18 33
17 32
16 31
16 31
16 31
15 30
14 29
14 28
14 27
13 26
12 25
11 25
10 25
9 25
9 26
10 25
9 25
10 25
9 25
9 25
10 25
10 26
10 26
10 26
9 26
10 26
9 25
10 25
9 25
9 24
10 24
# New slice
47 2
46 2
45 2
44 2
44 2
43 2
43 1
43 2
42 2
41 2
41 2
40 2
40 2
39 2
39 2
38 2
37 2
36 2
36 2
35 2
34 2
33 2
33 2
32 2
32 2
31 2
30 2
30 1
29 1
28 1
27 1
26 1
25 1
24 1
23 1
22 1
22 1
21 1
20 1
19 1
# New slice
13 4
12 4
11 4
10 4
10 5
9 5
9 4
8 4
7 4
6 4
5 4
4 4
3 4
2 4
1 4
0 4
0 5
1 5
0 5
0 5
0 5
1 5
0 5
0 4
1 4
0 4
1 4
0 4
0 3
1 3
0 3
0 4
1 4
0 4
1 4
0 4
1 4
1 4
1 3
0 3
# New slice
25 18
25 17
24 17
23 18
22 19
22 19
21 20
20 21
19 22
18 22
17 23
16 24
15 24
15 24
15 24
15 25
14 25
13 25
12 25
11 25
10 25
9 25
10 25
10 25
9 25
10 25
9 25
10 25
10 25
10 25
9 25
10 25
10 26
9 25
9 25
9 25
10 25
9 25
10 25
9 25
# New slice
9 44
8 43
7 42
6 41
5 40
4 39
3 39
2 38
1 37
1 37
0 36
1 36
0 35
0 34
1 34
0 33
1 33
2 33
2 32
3 31
3 30
4 29
5 28
6 27
7 26
8 25
9 25
9 25
9 25
9 25
10 25
9 25
10 25
9 25
10 24
9 24
9 25
10 25
9 25
10 25
# New slice
34 19
33 20
32 21
32 22
33 22
34 23
33 24
34 24
35 24
35 23
34 23
33 24
34 24
34 25
35 25
35 26
34 26
33 25
34 25
35 25
34 25
34 24
35 24
35 24
34 24
35 24
35 25
34 25
35 25
34 25
34 24
35 24
34 24
33 24
34 24
34 23
33 24
34 24
34 24
35 24
# New slice
45 33
44 32
44 31
43 30
42 29
41 28
41 28
40 27
39 26
38 25
37 25
36 25
35 25
34 25
34 24
35 24
34 24
34 23
33 24
33 24
34 24
34 25
35 25
36 25
35 25
34 25
35 25
34 25
35 25
34 25
35 25
34 25
34 26
33 25
34 25
35 25
34 25
35 25
34 24
35 24
# New slice
38 19
37 20
36 20
35 21
36 21
35 22
34 22
34 22
33 23
33 24
33 24
34 24
35 24
35 25
34 25
34 24
35 24
34 24
35 24
34 24
35 24
34 24
35 24
34 24
34 25
35 25
34 24
35 24
34 24
35 24
35 24
34 24
35 24
35 23
34 24
35 24
34 24
34 24
35 24
34 24
# New slice
32 49
32 48
31 47
30 46
29 45
28 44
27 43
27 43
26 42
25 42
24 41
24 41
24 40
24 39
23 38
23 37
22 36
21 35
20 35
19 34
19 34
18 33
17 32
17 31
16 30
15 29
14 28
14 28
13 28
12 27
11 26
10 25
9 25
10 25
9 24
9 24
9 24
9 24
9 25
10 25
# New slice
37 34
36 33
35 33
34 33
33 33
32 33
32 33
31 33
31 33
30 33
30 34
29 34
29 33
28 33
27 33
26 33
25 33
24 33
23 33
23 33
23 33
23 32
22 31
21 30
20 29
20 29
19 29
18 28
17 28
17 28
16 27
15 26
14 25
13 25
12 25
11 25
11 25
10 25
9 25
10 25
